"";"ano";"bigrama";"editoria_limpo";"datas"
"1";2013;"mandela progride";"folha de spaulo  mundo";2013-01-02
"2";2013;"progride bem";"folha de spaulo  mundo";2013-01-02
"3";2013;"coleção homenageia";"folha de spaulo  ilustrada";2013-01-04
"4";2013;"homenageia cantor";"folha de spaulo  ilustrada";2013-01-04
"5";2013;"sammy davis";"folha de spaulo  ilustrada";2013-01-04
"6";2013;"davis jr";"folha de spaulo  ilustrada";2013-01-04
"7";2013;"crítica atores";"folha de spaulo  ilustrada";2013-01-08
"8";2013;"atores duelam";"folha de spaulo  ilustrada";2013-01-08
"9";2013;"filme tenso";"folha de spaulo  ilustrada";2013-01-08
"10";2013;"tenso sobre";"folha de spaulo  ilustrada";2013-01-08
"11";2013;"sobre conflitos";"folha de spaulo  ilustrada";2013-01-08
"12";2013;"atores duelam";"folha de spaulo  ilustrada";2013-01-08
"13";2013;"filme tenso";"folha de spaulo  ilustrada";2013-01-08
"14";2013;"tenso sobre";"folha de spaulo  ilustrada";2013-01-08
"15";2013;"sobre conflitos";"folha de spaulo  ilustrada";2013-01-08
"16";2013;"hippie loiro";"folha de spaulo  ilustrada";2013-01-10
"17";2013;"loiro quer";"folha de spaulo  ilustrada";2013-01-10
"18";2013;"novo stevie";"folha de spaulo  ilustrada";2013-01-10
"19";2013;"stevie wonder";"folha de spaulo  ilustrada";2013-01-10
"20";2013;"acm neto";"folha de spaulo  poder";2013-01-10
"21";2013;"neto quer";"folha de spaulo  poder";2013-01-10
"22";2013;"quer sistema";"folha de spaulo  poder";2013-01-10
"23";2013;"erramos atores";"folha de spaulo  ilustrada";2013-01-14
"24";2013;"atores duelam";"folha de spaulo  ilustrada";2013-01-14
"25";2013;"filme tenso";"folha de spaulo  ilustrada";2013-01-14
"26";2013;"tenso sobre";"folha de spaulo  ilustrada";2013-01-14
"27";2013;"sobre conflitos";"folha de spaulo  ilustrada";2013-01-14
"28";2013;"racismo jogador";"folha de spaulo  esporte";2013-01-16
"29";2013;"milan ganha";"folha de spaulo  esporte";2013-01-16
