palavra;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
1ª;1;1;1;1;1;NA;3;7;6;14
1º;1;3;1;NA;1;3;NA;5;4;3
2ª;2;2;NA;NA;NA;1;1;2;1;5
56ª;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
5ª;1;NA;NA;NA;NA;NA;NA;1;NA;NA
abbey;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
aborda;2;NA;NA;1;1;1;NA;NA;NA;2
abordam;1;NA;NA;NA;2;NA;NA;NA;NA;NA
abre;1;NA;4;1;NA;NA;2;2;3;5
abreu;1;1;NA;NA;NA;NA;NA;NA;NA;NA
absolvição;5;NA;NA;NA;2;NA;NA;NA;1;2
abuso;1;NA;1;NA;NA;NA;1;4;2;4
acabou;1;NA;NA;NA;NA;NA;NA;NA;1;NA
acm;1;NA;NA;NA;NA;NA;NA;NA;NA;2
aconteceu;1;NA;NA;NA;NA;NA;NA;2;NA;NA
acordes;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
acting;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
acusa;1;5;1;1;NA;3;5;9;2;7
acusada;1;6;5;NA;2;NA;3;1;1;2
acusado;4;3;1;NA;2;3;3;8;7;4
acusação;1;NA;1;NA;2;8;1;2;NA;7
adepto;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
adia;1;NA;NA;NA;1;1;NA;2;NA;NA
adolescente;1;3;1;NA;NA;NA;NA;1;2;NA
adolescentes;1;NA;NA;NA;1;1;1;NA;3;4
adoração;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
adotam;1;NA;NA;NA;NA;NA;NA;1;1;NA
adoção;2;1;NA;NA;NA;NA;NA;NA;NA;1
adultos;2;NA;NA;NA;NA;NA;NA;NA;1;NA
afirma;3;4;1;2;1;5;7;9;9;4
afirmativa;1;NA;NA;NA;1;NA;NA;1;1;NA
afora;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
africa;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
africana;1;NA;3;NA;1;1;1;2;3;3
africano;1;NA;1;2;1;NA;NA;NA;1;NA
afro;1;1;1;2;4;5;6;3;2;2
afroamericano;2;NA;NA;NA;NA;NA;NA;1;NA;NA
agenda;2;NA;NA;1;NA;NA;NA;2;3;1
agradece;1;NA;NA;NA;1;NA;NA;NA;NA;NA
agradáveis;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrediram;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
agressão;1;NA;NA;NA;1;1;NA;2;1;3
aimé;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
ainda;3;4;6;3;5;3;5;10;11;7
aires;1;NA;NA;NA;NA;NA;1;NA;1;NA
ajuda;2;1;NA;NA;NA;NA;2;5;2;4
alarde;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
