palavra,ocorrencias
10º,1
15ª,1
17h,2
19ª,1
1ª,34
1º,19
20º,1
2ª,13
2º,11
3ª,2
3º,4
488c,1
4º,3
56ª,1
5ª,1
5º,2
60ª,1
7ª,1
8ª,1
abaixo,2
abalam,2
abandona,4
abandonam,1
abandonar,1
abandonará,1
abandonarão,1
abandono,1
abarca,2
abate,1
abbey,1
abdias,4
abdullah,1
abdulrazak,1
aberta,2
abertamente,1
abertas,2
aberto,1
abertura,2
abilio,1
abismo,4
abl,5
abolicionista,1
abolir,2
abolição,3
aborda,5
abordados,1
abordagem,7
abordagens,1
abordam,3
abordar,3
aborteira,1
aborto,13
abortos,1
abramovic,1
abraça,4
abraçam,2
abraçar,1
abre,14
abrem,2
abreu,1
abriga,3
abrir,1
abrirmos,1
abriu,2
abrupta,1
absoluta,2
absoluto,1
absolve,4
absolvidos,2
absolvição,10
abstrata,1
abuso,12
abusos,9
abusou,1
ac,1
acaba,2
acabar,2
acabou,2
academia,6
acadêmica,2
acadêmicas,1
acadêmico,1
acalento,1
acampamento,2
acata,1
aceita,2
aceitarão,1
aceito,1
aceitos,1
aceitável,1
aceleradora,1
acelerar,3
acena,2
acende,1
acendem,1
aceno,4
acento,1
acentua,1
acerta,3
acerto,1
acervo,5
acesas,1
acessar,1
acesso,10
acessório,1
acha,1
achado,1
acham,1
achar,2
acidente,2
acidez,1
acionar,1
acirra,3
acirradas,1
aclamada,1
acm,3
acobertamento,1
acolhedora,1
acolher,1
acolhimento,2
acompanha,2
acompanhar,1
acompanhe,1
acontece,2
acontecendo,1
acontecerá,1
aconteceu,2
acontecido,1
acordar,1
acordes,2
acordo,17
acordou,1
acorrenta,1
acorrentado,1
acorrentam,1
acre,2
acreditar,1
acuado,1
acumula,2
acumular,1
acusa,30
acusada,18
acusadas,1
acusado,32
acusados,11
acusam,5
acusar,1
acusarem,1
acusação,22
acusações,13
acusou,1
adams,1
adaptado,1
adaptam,1
adaptar,1
adaptação,2
adelia,1
aderem,2
adeus,2
adia,5
adiado,2
adiamento,1
adiante,1
adichie,1
adicional,1
adidas,3
adivinhe,1
administração,1
admissão,2
admite,5
admitem,1
admitir,1
adolescente,8
adolescentes,9
adoração,1
adota,5
adotam,3
adotar,3
adotaram,1
adoção,4
adriana,1
adrilles,1
adubar,1
adulta,1
adultos,2
adversários,1
advertir,1
advertência,3
advindo,1
advocacia,5
advoga,1
advogada,4
advogadas,2
advogado,6
advogados,14
afasta,7
afastada,1
afastado,2
afastados,1
afastam,1
afastamento,2
afastar,1
afastem,1
afeganistão,1
afeta,5
afetados,1
afetam,2
afetando,1
afetar,2
afeto,1
afetuoso,1
affleck,1
afiadas,1
afirma,40
afirmam,6
afirmar,1
afirmativa,3
afirmativas,6
afirmação,2
afligir,1
aflitos,1
afonso,2
africana,13
africanas,1
africano,5
africanos,14
afro,20
afroamericana,2
afroamericano,2
afroamericanos,1
afroatlânticas,1
afrobaiana,1
afrobrasileira,3
afrobrasileiras,2
afrobrasilianista,1
afrocentradas,1
afroconveniente,1
afrocêntrica,1
afrofuturismo,5
afrofuturista,2
afrofuturo,1
afrontam,1
afrontar,1
afrontou,3
afropessimismo,1
afropunk,1
afros,1
afrotopia,1
afroturismo,1
afrouxa,1
afundaram,1
age,1
agenda,8
agente,9
agentes,5
agilizar,2
agir,1
agiu,3
aglomeração,2
agora,17
agosto,1
agrada,1
agradará,1
agradece,2
agradáveis,2
agrava,1
agravada,1
agravar,1
agravou,1
agredida,4
agredidas,1
agredido,5
agredindo,1
agredir,3
agrediram,1
agressiva,1
agressivo,1
agressor,2
agressora,1
agressores,2
agressão,8
agressões,4
agride,1
agridem,3
agridoce,1
agroindústria,1
agronegócio,1
agrária,1
agrário,1
aguarda,1
aguardado,1
agudo,1
aguiar,1
agência,2
agências,3
ah,1
ahmaud,3
ahmed,1
aids,1
aimé,2
ainda,53
airbnb,2
aires,3
aiyê,1
ajd,1
ajoelha,1
ajoelhado,2
ajoelhados,1
ajoelhando,1
ajuda,13
ajudam,1
ajudante,1
ajudar,2
ajudaram,2
ajudou,7
ajustes,1
ajustou,1
al,1
ala,1
alarde,1
alardeado,1
alarmantes,2
alas,1
alasca,1
alavancada,2
albert,1
alberto,2
albina,1
albinismo,1
alcance,2
alcarràs,1
alceu,1
alcione,1
alckmin,3
aldeia,1
aldir,1
aldo,2
alega,2
alegoria,1
alegre,8
alegria,1
alegórico,1
aleixo,1
alejandro,1
aleluia,1
alemanha,10
alemão,1
alemãs,1
alerta,5
alertam,1
alertar,1
alessandra,1
alexander,1
alexandre,2
alfabetização,2
alfinetam,1
alforria,1
alfred,1
alfredo,1
algema,1
algemado,1
algemou,1
algo,1
algoritmos,1
algum,2
algumas,2
alguém,1
ali,8
aliada,1
aliado,4
aliados,5
aliam,2
aliança,2
alianças,2
alice,5
alienação,1
alimenta,2
alimentam,2
alimentação,1
alinhado,1
alisa,1
aliviar,2
all,1
allen,1
allyson,1
alma,5
almeida,5
almoço,1
alta,11
altacostura,1
altas,1
alteram,1
alterar,1
alternativa,3
alto,4
altos,2
altright,2
aluguel,2
aluna,5
aluno,6
alunos,18
alusão,2
alvará,1
alvejante,1
alves,1
alvo,46
alvos,4
alzheimer,1
além,18
alívio,1
am,2
amaldiçoa,1
amanhece,1
amanhecem,1
amanhã,1
amante,1
amapá,1
amar,1
amaral,3
amarela,1
amarelo,1
amarelos,1
amarildo,1
amarrado,1
amarraram,1
amassou,1
amava,1
amazing,1
amazonas,1
amazônia,1
ambev,1
ambientais,2
ambiental,7
ambiente,2
ambientes,2
ambiguidade,2
ambição,1
ambições,1
ambíguo,1
ameaça,22
ameaçada,3
ameaçadora,1
ameaçam,2
ameaçar,2
ameaças,13
ameaçou,1
amedronta,1
amei,1
ameniza,1
american,2
americana,16
americanah,1
americanas,5
americano,25
americanos,18
amiga,1
amigo,1
amigos,3
amizade,2
amor,5
amores,1
ampla,3
amplia,11
ampliam,3
ampliar,6
amélia,1
américa,6
ana,4
anacronismos,2
analfabetos,1
analisa,2
analisar,1
analistas,6
anani,1
ancestrais,1
ancestral,1
ancestralidade,4
anda,1
andar,3
anderson,1
andrade,3
andres,1
andrés,1
andy,1
anelis,2
anelka,1
aneurisma,1
angel,2
angela,11
angeles,7
angeli,1
angelo,1
angelou,6
angola,1
angustiante,1
anhembi,2
